CWE_ID,num_functions,num_statements,func_accuracy,func_precision,func_recall,func_f1,stmt_accuracy,stmt_precision,stmt_recall,stmt_f1,func_pr_auc,stmt_pr_auc
CWE-400,160,1041,0.95,0.6363636363636364,0.9745222929936306,0.7012138188608776,0.983669548511047,0.7423002887391723,0.5289234834558824,0.5485113656657397,0.301010101010101,0.07988192285646112
CWE-284,114,1283,0.9912280701754386,0.75,0.995575221238938,0.8311111111111111,0.9992205767731879,0.49961028838659394,0.5,0.49980506822612086,0.25,0.011627906976744186
CWE-89,183,1875,0.9890710382513661,0.9166666666666667,0.9942196531791907,0.9516384778012685,0.9349333333333333,0.5173367504319691,0.5464285714285714,0.5210186441529725,0.9313455988455989,0.0800879352377233
CWE-502,123,1062,1.0,1.0,1.0,1.0,0.9868173258003766,0.49433962264150944,0.4990476190476191,0.4966824644549763,0.9999999999999998,0.011926392887236032
CWE-79,283,2443,0.9929328621908127,0.9473684210526316,0.9962406015037594,0.970335429769392,0.9823986901350799,0.6582650273224043,0.5114882687768985,0.5177809910716336,0.8009109175290199,0.09493564606854574
CWE-354,20,157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-863,207,1728,0.9951690821256038,0.75,0.9975728155339806,0.8321167883211679,0.9988425925925926,0.9994209612044007,0.6666666666666666,0.749710312862109,0.25,0.5916666666666667
CWE-77,13,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-22,185,1985,0.9783783783783784,0.875,0.9884393063583815,0.9227234753550543,0.9879093198992444,0.8275311133535149,0.5397448979591837,0.56838443139813,0.8744606088356088,0.21952457048149387
CWE-281,30,342,1.0,1.0,1.0,1.0,0.97953216374269,0.6592920353982301,0.5803571428571429,0.605925925925926,1.0,0.2715846653346653
CWE-Other,508,5237,0.9901574803149606,0.868421052631579,0.9949392712550607,0.9216991892475107,0.9948443765514607,0.6982765224052088,0.624136773450988,0.6525524307987174,0.9907738095238094,0.20342740836880085
CWE-668,130,1104,1.0,1.0,1.0,1.0,0.9873188405797102,0.4945553539019964,0.4990842490842491,0.4968094804010939,1.0,0.11213358304374225
CWE-352,38,241,0.9736842105263158,0.75,0.9864864864864865,0.8264840182648401,0.995850622406639,0.4979253112033195,0.5,0.498960498960499,0.25,0.0625
CWE-200,132,1553,1.0,1.0,1.0,1.0,0.9942047649710238,0.4971023824855119,0.5,0.4985469809493058,1.0,0.5862769113769226
CWE-918,36,381,1.0,1.0,1.0,1.0,0.9921259842519685,0.832,0.8973404255319148,0.8616390267522092,1.0,0.700316974424805
CWE-94,25,215,1.0,1.0,1.0,1.0,0.8604651162790697,0.5558558558558558,0.6871980676328502,0.5669978517722878,1.0,0.07565664297739455
CWE-862,220,2184,1.0,1.0,1.0,1.0,0.99496336996337,0.497481684981685,0.5,0.4987376635299518,1.0,0.45620487501482754
CWE-264,313,3276,0.987220447284345,0.8,0.993485342019544,0.8717213114754099,0.996947496947497,0.49877825290164934,0.4996940024479804,0.4992357077346377,0.9104166666666667,0.027144504351271553
CWE-20,183,1531,0.9836065573770492,0.8125,0.9915730337078652,0.880366092830682,0.9941214892227302,0.6643760907504362,0.5618434011818778,0.5894341646554035,0.6266666666666667,0.11232063654758527
CWE-829,5,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-74,51,345,1.0,1.0,1.0,1.0,0.9710144927536232,0.7368804664723032,0.5485074626865671,0.5759587020648967,1.0,0.3354171513261855
CWE-770,45,389,0.9777777777777777,0.75,0.9886363636363636,0.8275862068965517,0.9974293059125964,0.4987146529562982,0.5,0.49935649935649934,0.25,0.019230769230769232
CWE-776,2,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-310,21,121,0.9523809523809523,0.5,0.47619047619047616,0.4878048780487805,1.0,1.0,1.0,1.0,0.5,0.5
CWE-255,21,82,0.9523809523809523,0.5,0.47619047619047616,0.4878048780487805,1.0,1.0,1.0,1.0,0.5,0.5
CWE-130,29,168,1.0,1.0,1.0,1.0,0.9940476190476191,0.49702380952380953,0.5,0.49850746268656715,1.0,0.08333333333333333
CWE-287,30,344,0.9666666666666667,0.875,0.9814814814814814,0.9191374663072776,0.9709302325581395,0.4868804664723032,0.49850746268656715,0.49262536873156343,0.7638888888888888,0.05858315491831918
CWE-835,30,228,1.0,1.0,1.0,1.0,0.9956140350877193,0.5,0.49780701754385964,0.4989010989010989,0.5,0.5
CWE-601,13,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
CWE-379,2,23,1.0,1.0,1.0,1.0,0.7391304347826086,0.3695652173913043,0.5,0.425,1.0,0.320995670995671
CWE-90,3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
